band_id,band_lo_micron,band_hi_micron,continuum_id,continuum_lo_micron,continuum_hi_micron,band_points,continuum_points,contrast_ppm,contrast_error_ppm,signed_sigma
B1,4.05,4.55,C1,3.5,3.9,745,423,-17.3823206205,20.1859270734,-0.861110840106
B1,4.05,4.55,C2_primary,3.6,3.9,745,278,-4.23979095089,22.810665609,-0.185868795921
B1,4.05,4.55,C3,3.7,4.0,745,288,6.86336032404,23.4534708636,0.292637297223
B1,4.05,4.55,C4,3.8,4.05,745,337,20.7859518111,22.6574360745,0.917400880786
B1,4.05,4.55,C5,4.65,4.9,745,375,52.1685106369,32.181889873,1.62105180407
B1,4.05,4.55,C6,4.7,5.0,745,450,62.2422688692,30.9850450611,2.00878419723
B2,4.1,4.5,C1,3.5,3.9,597,423,-10.7406940409,21.5035127737,-0.499485556332
B2,4.1,4.5,C2_primary,3.6,3.9,597,278,2.40183562868,23.9844923924,0.10014119079
B2,4.1,4.5,C3,3.7,4.0,597,288,13.5049869036,24.5966401232,0.549058198029
B2,4.1,4.5,C4,3.8,4.05,597,337,27.4275783906,23.8388090992,1.15054314486
B2,4.1,4.5,C5,4.65,4.9,597,375,58.8101372165,33.0242856939,1.78081481494
B2,4.1,4.5,C6,4.7,5.0,597,450,68.8838954488,31.8591027375,2.16214172811
B3_primary,4.1,4.6,C1,3.5,3.9,745,423,-9.07162173597,20.5835611428,-0.44072168431
B3_primary,4.1,4.6,C2_primary,3.6,3.9,745,278,4.07090793361,23.1632856701,0.175748293726
B3_primary,4.1,4.6,C3,3.7,4.0,745,288,15.1740592085,23.796567674,0.637657472979
B3_primary,4.1,4.6,C4,3.8,4.05,745,337,29.0966506956,23.0124041981,1.26438986753
B3_primary,4.1,4.6,C5,4.65,4.9,745,375,60.4792095214,32.4327823861,1.86475550575
B3_primary,4.1,4.6,C6,4.7,5.0,745,450,70.5529677537,31.2455493622,2.25801655576
B4,4.2,4.5,C1,3.5,3.9,447,423,-7.98839040164,24.1820147692,-0.330344285944
B4,4.2,4.5,C2_primary,3.6,3.9,447,278,5.15413926794,26.4125851066,0.195139523343
B4,4.2,4.5,C3,3.7,4.0,447,288,16.2572905429,26.9696770845,0.602798857842
B4,4.2,4.5,C4,3.8,4.05,447,337,30.1798820299,26.2803652173,1.14838137828
B4,4.2,4.5,C5,4.65,4.9,447,375,61.5624408557,34.8277507497,1.76762608927
B4,4.2,4.5,C6,4.7,5.0,447,450,71.636199088,33.724934454,2.12413160315
B5,4.2,4.6,C1,3.5,3.9,595,423,-6.24835889507,22.5431634252,-0.277173117952
B5,4.2,4.6,C2_primary,3.6,3.9,595,278,6.89417077451,24.920855341,0.276642622421
B5,4.2,4.6,C3,3.7,4.0,595,288,17.9973220494,25.5105441133,0.705485620751
B5,4.2,4.6,C4,3.8,4.05,595,337,31.9199135365,24.7806774498,1.28809688924
B5,4.2,4.6,C5,4.65,4.9,595,375,63.3024723623,33.7104820672,1.87782756225
B5,4.2,4.6,C6,4.7,5.0,595,450,73.3762305946,32.5698569669,2.25288771361
